season,Equipo,Puntos F1GOAT (Temporada),puntos_total,factor,gps_disputados
1982,Renault,75.488,120.78,0.6250041397582381,16
1983,Ligier,61.8,92.7,0.6666666666666666,15
1984,Team Lotus,75.188,120.3,0.6250041562759767,16
1985,Osella,59.529,83.34000000000002,0.7142908567314614,14
1987,Minardi,57.569,92.11000000000001,0.6250027141461295,16
1988,March,68.631,109.80999999999999,0.6249977233403151,16
1989,March,62.306,99.69000000000001,0.6249974922259002,16
1990,Arrows,63.75,89.25,0.7142857142857143,14
2000,Arrows,65.188,110.82,0.5882331709077785,17
2001,Ferrari,84.053,142.89,0.5882357057876689,17
2002,Arrows,64.909,71.4,0.9090896358543418,11
2006,Renault,82.933,149.28,0.5555533226152197,18
2007,Honda,67.165,114.18000000000002,0.5882378700297775,17
2014,Mercedes,84.979,161.45999999999998,0.5263161154465503,19
2015,Mercedes,86.858,165.02999999999997,0.5263164273162456,19
1959,Cooper-Maserati,69.486,48.64,1.4285773026315791,7
1960,Behra-Porsche,69.6,13.92,5.0,2
1960,Team Lotus,75.128,60.102,1.2500083191907092,8
1960,Meskowski,63.6,6.36,10.0,1
1960,JBW,69.9,13.98,5.0,2
2016,Red Bull Racing,81.748,171.67000000000002,0.4761926952874701,21
2017,Renault,68.85,137.7,0.5,20
2021,McLaren,77.482,170.46000000000004,0.4545465211779889,22
2021,Williams,65.418,143.92,0.4545441912173431,22
2022,Haas F1 Team,66.55,146.41000000000003,0.4545454545454545,22
2022,Sauber,68.409,150.5,0.4545448504983389,22
2023,Alpine F1 Team,71.55,157.41,0.45454545454545453,22
2004,Jordan,64.317,115.77000000000001,0.5555584348276754,18
1950,Alta,68.7,13.74,5.0,2
1951,BRM,66.75,13.35,5.0,2
1952,Sherman,66.0,6.6,10.0,1
1953,HWM,60.508,36.305,1.6666574851948768,6
1954,Phillips,79.8,7.98,9.999999999999998,1
1954,HWM,62.4,6.24,10.0,1
1955,Gordini,65.48,32.739999999999995,2.0000000000000004,5
1955,Epperly,63.0,6.3,10.0,1
1955,Pankratz,45.6,4.56,10.000000000000002,1
1956,Kurtis Kraft,59.68,5.968,10.0,1
1956,Watson,90.0,9.0,10.0,1
1958,Cooper,74.711,74.711,1.0,10
1961,Porsche,71.184,56.946999999999996,1.2500043900468858,8
1962,Ferrari,72.133,43.28,1.666658964879852,6
1963,Sauber,64.2,6.42,10.0,1
1964,Porsche,61.2,6.12,10.0,1
1967,Eagle-Climax,68.4,20.52,3.3333333333333335,3
1967,Lola,64.8,6.48,9.999999999999998,1
1968,Cooper-Climax,60.6,6.06,10.0,1
1969,BRM,70.23,70.23,1.0,10
1973,Ferrari,71.885,93.44999999999999,0.7692348849652222,13
1974,Lola,64.8,97.19999999999999,0.6666666666666667,15
1974,Shadow,65.25,91.35000000000001,0.7142857142857142,14
1974,Tyrrell,74.9,112.35000000000002,0.6666666666666666,15
1974,Penske,61.2,12.24,5.0,2
1976,Penske,71.719,114.75,0.6250021786492375,16
1976,Shadow,70.275,112.44000000000001,0.625,16
1976,Tyrrell,75.497,120.79499999999999,0.6250010348110435,16
1978,ATS,63.05,75.66,0.8333333333333334,12
1978,Theodore,49.8,4.98,9.999999999999998,1
1979,Ensign,63.1,37.86000000000001,1.6666666666666665,6
1979,McLaren,67.74,101.61,0.6666666666666666,15
